TimeGenerated [UTC],DeviceName,ActionType,AccountName,RemoteIP,login_count
"4/2/2025, 3:33:10.188 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:12.820 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:33:12.980 AM",windows-target-1,LogonFailed,vpsadm,REDACTED IP,1
"4/2/2025, 3:33:13.868 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:17.700 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:17.780 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:33:21.536 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:22.990 AM",windows-target-1,LogonFailed,target,REDACTED IP,1
"4/2/2025, 3:33:24.674 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:33:28.143 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:33:28.939 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:29.460 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:32.939 AM",windows-target-1,LogonFailed,crm,REDACTED IP,1
"4/2/2025, 3:33:34.128 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:35.045 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:33:36.390 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:38.739 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:42.377 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:33:42.586 AM",windows-target-1,LogonFailed,user,REDACTED IP,1
"4/2/2025, 3:33:43.715 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:46.925 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:33:51.164 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:52.552 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:33:52.579 AM",windows-target-1,LogonFailed,makis,REDACTED IP,1
"4/2/2025, 3:33:54.458 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:56.333 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:57.942 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:33:59.728 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"4/2/2025, 3:34:01.163 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:34:03.522 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:34:04.093 AM",windows-target-1,LogonFailed,user,REDACTED IP,1
"4/2/2025, 3:34:11.952 AM",windows-target-1,LogonFailed,bestjeannot,REDACTED IP,1
"4/2/2025, 3:34:12.869 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"4/2/2025, 3:34:16.234 AM",windows-target-1,LogonFailed,admin,REDACTED IP,1
