RemoteIP,DeviceName,ActionType,AccountName,total_connections
REDACTED IP,windows-target-1,LogonFailed,administrator,32
REDACTED IP,windows-target-1,LogonFailed,administrator,115
REDACTED IP,windows-target-1,LogonFailed,administrator,16
REDACTED IP,windows-target-1,LogonFailed,administrator,6
REDACTED IP,windows-target-1,LogonFailed,administrator,8
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,6
REDACTED IP,windows-target-1,LogonFailed,administrator,34
REDACTED IP,windows-target-1,LogonFailed,admin,13
REDACTED IP,windows-target-1,LogonFailed,administrator,10
REDACTED IP,windows-target-1,LogonFailed,administrator,21
REDACTED IP,windows-target-1,LogonFailed,administrator,12
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,admin,8
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,auditor1,1
REDACTED IP,windows-target-1,LogonFailed,administrator,10
REDACTED IP,windows-target-1,LogonFailed,administrator,7
REDACTED IP,windows-target-1,LogonFailed,administrator,8
REDACTED IP,windows-target-1,LogonFailed,admin,6
REDACTED IP,windows-target-1,LogonFailed,auditor2,1
REDACTED IP,windows-target-1,LogonFailed,administrator,5
REDACTED IP,windows-target-1,LogonFailed,administrator,10
REDACTED IP,windows-target-1,LogonFailed,administrator,8
REDACTED IP,windows-target-1,LogonFailed,administrator,6
REDACTED IP,windows-target-1,LogonFailed,sales,1
REDACTED IP,windows-target-1,LogonFailed,avv,1
REDACTED IP,windows-target-1,LogonFailed,administrator,8
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,12
REDACTED IP,windows-target-1,LogonFailed,awsuser,1
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,admin,5
REDACTED IP,windows-target-1,LogonFailed,user4,2
REDACTED IP,windows-target-1,LogonFailed,administrator,10
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,8
REDACTED IP,windows-target-1,LogonFailed,admin,1
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,azam,1
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,gans,1
REDACTED IP,windows-target-1,LogonFailed,azmi,1
REDACTED IP,windows-target-1,LogonFailed,azureuser,2
REDACTED IP,windows-target-1,LogonFailed,debora,1
REDACTED IP,windows-target-1,LogonFailed,babylone3,1
REDACTED IP,windows-target-1,LogonFailed,admin,1
REDACTED IP,windows-target-1,LogonFailed,administrator,52
REDACTED IP,windows-target-1,LogonFailed,sonia,1
REDACTED IP,windows-target-1,LogonFailed,administrator,7
REDACTED IP,windows-target-1,LogonFailed,administrator,19
REDACTED IP,windows-target-1,LogonFailed,administrator,27
REDACTED IP,windows-target-1,LogonFailed,serveradmin,1
REDACTED IP,windows-target-1,LogonFailed,administrator,8
REDACTED IP,windows-target-1,LogonFailed,administrator,13
REDACTED IP,windows-target-1,LogonFailed,todd,1
REDACTED IP,windows-target-1,LogonFailed,administrator,7
REDACTED IP,windows-target-1,LogonFailed,administrator,9
REDACTED IP,windows-target-1,LogonFailed,puac,1
REDACTED IP,windows-target-1,LogonFailed,administrator,10
REDACTED IP,windows-target-1,LogonFailed,administrator,7
REDACTED IP,windows-target-1,LogonFailed,administrator,11
REDACTED IP,windows-target-1,LogonFailed,lincoln,2
REDACTED IP,windows-target-1,LogonFailed,jyzd,1
REDACTED IP,windows-target-1,LogonFailed,dean,1
REDACTED IP,windows-target-1,LogonFailed,rastreo,1
REDACTED IP,windows-target-1,LogonFailed,default,1
REDACTED IP,windows-target-1,LogonFailed,localgroup,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,judy,1
REDACTED IP,windows-target-1,LogonFailed,administrateur,3
REDACTED IP,windows-target-1,LogonFailed,support,1
REDACTED IP,windows-target-1,LogonFailed,lichfield,2
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,temp,1
REDACTED IP,windows-target-1,LogonFailed,acronis agent user,1
REDACTED IP,windows-target-1,LogonFailed,wtamanager,1
REDACTED IP,windows-target-1,LogonFailed,administrator,7
REDACTED IP,windows-target-1,LogonFailed,administrator,11
REDACTED IP,windows-target-1,LogonFailed,newuser,1
REDACTED IP,windows-target-1,LogonFailed,office,1
REDACTED IP,windows-target-1,LogonFailed,defaultaccount,1
REDACTED IP,windows-target-1,LogonFailed,sterling,1
REDACTED IP,windows-target-1,LogonFailed,mahawar,1
REDACTED IP,windows-target-1,LogonFailed,admin,23
REDACTED IP,windows-target-1,LogonFailed,administrator,9
REDACTED IP,windows-target-1,LogonFailed,administrator,25
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,5
REDACTED IP,windows-target-1,LogonFailed,administrator,18
REDACTED IP,windows-target-1,LogonFailed,administrator,9
REDACTED IP,windows-target-1,LogonFailed,administrator,5
REDACTED IP,windows-target-1,LogonFailed,admin,2
REDACTED IP,windows-target-1,LogonFailed,administrator,5
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,mahmood,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,6
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,frontdesk1,1
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,5
REDACTED IP,windows-target-1,LogonFailed,admin,25
REDACTED IP,windows-target-1,LogonFailed,administrator,7
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,malkov,1
REDACTED IP,windows-target-1,LogonFailed,sys,1
REDACTED IP,windows-target-1,LogonFailed,man,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,dsnvsuser,1
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,administrator,6
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,9
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,13
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,max,1
REDACTED IP,windows-target-1,LogonFailed,operator9,1
REDACTED IP,windows-target-1,LogonFailed,scanner,1
REDACTED IP,windows-target-1,LogonFailed,opt,1
REDACTED IP,windows-target-1,LogonFailed,angel,1
REDACTED IP,windows-target-1,LogonFailed,scannedjser,1
